1.2433 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
96.0052 	EXP 	fixation: autoDraw = False
96.0052 	EXP 	grating: autoDraw = False
96.0052 	EXP 	grating: pos = array([-0.2,  0. ])
96.0057 	EXP 	window1: recordFrameIntervals = False
96.9882 	EXP 	fixation: autoDraw = True
97.9882 	EXP 	fixation: autoDraw = False
97.9882 	EXP 	grating: autoDraw = True
97.9882 	EXP 	grating: tex = 'sin'
98.2882 	EXP 	grating: autoDraw = False
98.3783 	EXP 	window1: recordFrameIntervals = False
98.3815 	DATA 	Keypress: left
98.3884 	EXP 	fixation: autoDraw = False
98.3884 	EXP 	grating: autoDraw = False
98.3884 	EXP 	grating: pos = array([-0.2,  0. ])
98.3889 	EXP 	window1: recordFrameIntervals = False
99.3690 	EXP 	fixation: autoDraw = True
100.3712 	EXP 	fixation: autoDraw = False
100.3712 	EXP 	grating: autoDraw = True
100.3712 	EXP 	grating: tex = 'sin'
100.6096 	DATA 	Keypress: right
100.6258 	EXP 	window1: recordFrameIntervals = False
100.6375 	EXP 	fixation: autoDraw = False
100.6375 	EXP 	grating: autoDraw = False
100.6375 	EXP 	grating: pos = array([-0.2,  0. ])
100.6377 	EXP 	window1: recordFrameIntervals = False
101.4120 	DATA 	Keypress: left
101.6187 	EXP 	fixation: autoDraw = True
102.6209 	EXP 	fixation: autoDraw = False
102.6209 	EXP 	grating: autoDraw = True
102.6209 	EXP 	grating: tex = 'sin'
102.9211 	EXP 	grating: autoDraw = False
102.9597 	DATA 	Keypress: escape
103.2294 	EXP 	window1: mouseVisible = True
