105.0007 	EXP 	fixation: autoDraw = False
105.0007 	EXP 	grating: autoDraw = False
105.0007 	EXP 	grating: ori = -5.0
105.0007 	EXP 	fixation: autoDraw = True
105.9851 	EXP 	grating: autoDraw = True
106.0018 	EXP 	fixation: autoDraw = False
106.2853 	EXP 	grating: autoDraw = False
106.5381 	EXP 	New trial (rep=46, index=0): None
106.5460 	DATA 	Keypress: down
106.5481 	EXP 	fixation: autoDraw = False
106.5481 	EXP 	grating: autoDraw = False
106.5481 	EXP 	grating: ori = 0.0
106.5481 	EXP 	fixation: autoDraw = True
107.5351 	EXP 	grating: autoDraw = True
107.5519 	EXP 	fixation: autoDraw = False
107.8352 	EXP 	grating: autoDraw = False
108.1722 	EXP 	New trial (rep=47, index=0): None
108.1791 	DATA 	Keypress: up
108.1813 	EXP 	fixation: autoDraw = False
108.1813 	EXP 	grating: autoDraw = False
108.1813 	EXP 	grating: ori = 0.0
108.1813 	EXP 	fixation: autoDraw = True
109.1681 	EXP 	grating: autoDraw = True
109.1848 	EXP 	fixation: autoDraw = False
109.4684 	EXP 	grating: autoDraw = False
109.8045 	EXP 	New trial (rep=48, index=0): None
109.8125 	DATA 	Keypress: up
109.8146 	EXP 	fixation: autoDraw = False
109.8146 	EXP 	grating: autoDraw = False
109.8146 	EXP 	grating: ori = 0.0
109.8146 	EXP 	fixation: autoDraw = True
110.8015 	EXP 	grating: autoDraw = True
110.8181 	EXP 	fixation: autoDraw = False
111.1014 	EXP 	grating: autoDraw = False
111.4740 	DATA 	Keypress: up
111.5056 	EXP 	New trial (rep=49, index=0): None
111.5150 	EXP 	fixation: autoDraw = False
111.5150 	EXP 	grating: autoDraw = False
111.5150 	EXP 	grating: ori = -1.0
111.5150 	EXP 	fixation: autoDraw = True
112.5012 	EXP 	grating: autoDraw = True
112.5180 	EXP 	fixation: autoDraw = False
112.8012 	EXP 	grating: autoDraw = False
114.1077 	DATA 	Keypress: up
114.1378 	EXP 	New trial (rep=50, index=0): None
114.1465 	EXP 	fixation: autoDraw = False
114.1465 	EXP 	grating: autoDraw = False
114.1465 	EXP 	grating: ori = 0.0
114.1465 	EXP 	fixation: autoDraw = True
115.1344 	EXP 	grating: autoDraw = True
115.1513 	EXP 	fixation: autoDraw = False
115.4342 	EXP 	grating: autoDraw = False
115.7575 	EXP 	New trial (rep=51, index=0): None
115.7647 	DATA 	Keypress: up
115.7671 	EXP 	fixation: autoDraw = False
115.7671 	EXP 	grating: autoDraw = False
115.7671 	EXP 	grating: ori = 0.0
115.7671 	EXP 	fixation: autoDraw = True
116.7508 	EXP 	grating: autoDraw = True
116.7676 	EXP 	fixation: autoDraw = False
117.0510 	EXP 	grating: autoDraw = False
117.3574 	EXP 	New trial (rep=52, index=0): None
117.3662 	DATA 	Keypress: up
117.3686 	EXP 	fixation: autoDraw = False
117.3686 	EXP 	grating: autoDraw = False
117.3686 	EXP 	grating: ori = 3.0
117.3686 	EXP 	fixation: autoDraw = True
118.3508 	EXP 	grating: autoDraw = True
118.3843 	EXP 	fixation: autoDraw = False
118.6506 	EXP 	grating: autoDraw = False
118.8952 	EXP 	New trial (rep=53, index=0): None
118.9063 	DATA 	Keypress: down
118.9087 	EXP 	fixation: autoDraw = False
118.9087 	EXP 	grating: autoDraw = False
118.9087 	EXP 	grating: ori = 0.0
118.9087 	EXP 	fixation: autoDraw = True
119.9007 	EXP 	grating: autoDraw = True
119.9174 	EXP 	fixation: autoDraw = False
120.2008 	EXP 	grating: autoDraw = False
121.5741 	DATA 	Keypress: down
121.6055 	EXP 	New trial (rep=54, index=0): None
121.6161 	EXP 	fixation: autoDraw = False
121.6161 	EXP 	grating: autoDraw = False
121.6161 	EXP 	grating: ori = 1.0
121.6161 	EXP 	fixation: autoDraw = True
122.6007 	EXP 	grating: autoDraw = True
122.6173 	EXP 	fixation: autoDraw = False
122.9004 	EXP 	grating: autoDraw = False
123.3382 	EXP 	New trial (rep=55, index=0): None
123.3456 	DATA 	Keypress: down
123.3478 	EXP 	fixation: autoDraw = False
123.3478 	EXP 	grating: autoDraw = False
123.3478 	EXP 	grating: ori = -4.0
123.3478 	EXP 	fixation: autoDraw = True
124.3337 	EXP 	grating: autoDraw = True
124.3505 	EXP 	fixation: autoDraw = False
124.6336 	EXP 	grating: autoDraw = False
124.8581 	EXP 	New trial (rep=56, index=0): None
124.8699 	DATA 	Keypress: down
124.8721 	EXP 	fixation: autoDraw = False
124.8721 	EXP 	grating: autoDraw = False
124.8721 	EXP 	grating: ori = 3.0
124.8721 	EXP 	fixation: autoDraw = True
125.8504 	EXP 	grating: autoDraw = True
125.8838 	EXP 	fixation: autoDraw = False
126.1502 	EXP 	grating: autoDraw = False
126.3365 	EXP 	New trial (rep=57, index=0): None
126.3444 	DATA 	Keypress: down
126.3466 	EXP 	fixation: autoDraw = False
126.3466 	EXP 	grating: autoDraw = False
126.3466 	EXP 	grating: ori = -4.0
126.3466 	EXP 	fixation: autoDraw = True
127.3335 	EXP 	grating: autoDraw = True
127.3502 	EXP 	fixation: autoDraw = False
127.6336 	EXP 	grating: autoDraw = False
127.8041 	EXP 	New trial (rep=58, index=0): None
127.8112 	DATA 	Keypress: down
127.8133 	EXP 	fixation: autoDraw = False
127.8133 	EXP 	grating: autoDraw = False
127.8133 	EXP 	grating: ori = 0.0
127.8133 	EXP 	fixation: autoDraw = True
128.8001 	EXP 	grating: autoDraw = True
128.8168 	EXP 	fixation: autoDraw = False
129.1001 	EXP 	grating: autoDraw = False
129.3098 	EXP 	New trial (rep=59, index=0): None
129.3182 	DATA 	Keypress: up
129.3204 	EXP 	fixation: autoDraw = False
129.3204 	EXP 	grating: autoDraw = False
129.3204 	EXP 	grating: ori = -2.0
129.3204 	EXP 	fixation: autoDraw = True
130.3165 	EXP 	grating: autoDraw = True
130.3333 	EXP 	fixation: autoDraw = False
130.6164 	EXP 	grating: autoDraw = False
130.9041 	EXP 	New trial (rep=60, index=0): None
130.9106 	DATA 	Keypress: down
130.9127 	EXP 	fixation: autoDraw = False
130.9127 	EXP 	grating: autoDraw = False
130.9127 	EXP 	grating: ori = 4.0
130.9127 	EXP 	fixation: autoDraw = True
131.8997 	EXP 	grating: autoDraw = True
131.9165 	EXP 	fixation: autoDraw = False
132.1996 	EXP 	grating: autoDraw = False
132.4023 	EXP 	New trial (rep=61, index=0): None
132.4098 	DATA 	Keypress: down
132.4120 	EXP 	fixation: autoDraw = False
132.4120 	EXP 	grating: autoDraw = False
132.4120 	EXP 	grating: ori = -4.0
132.4120 	EXP 	fixation: autoDraw = True
133.3996 	EXP 	grating: autoDraw = True
133.4163 	EXP 	fixation: autoDraw = False
133.6995 	EXP 	grating: autoDraw = False
